Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971091.277, datetime.datetime(2018, 6, 14, 15, 41, 31, 277000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971092.296, datetime.datetime(2018, 6, 14, 15, 41, 32, 296000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971093.299, datetime.datetime(2018, 6, 14, 15, 41, 33, 299000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971094.302, datetime.datetime(2018, 6, 14, 15, 41, 34, 302000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971095.321, datetime.datetime(2018, 6, 14, 15, 41, 35, 321000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971096.324, datetime.datetime(2018, 6, 14, 15, 41, 36, 324000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971097.327, datetime.datetime(2018, 6, 14, 15, 41, 37, 327000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971098.324, datetime.datetime(2018, 6, 14, 15, 41, 38, 324000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971099.323, datetime.datetime(2018, 6, 14, 15, 41, 39, 323000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971219.332, datetime.datetime(2018, 6, 14, 15, 43, 39, 332000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971219.385, datetime.datetime(2018, 6, 14, 15, 43, 39, 385000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971220.387, datetime.datetime(2018, 6, 14, 15, 43, 40, 387000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971221.39, datetime.datetime(2018, 6, 14, 15, 43, 41, 390000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971222.393, datetime.datetime(2018, 6, 14, 15, 43, 42, 393000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971223.395, datetime.datetime(2018, 6, 14, 15, 43, 43, 395000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971224.398, datetime.datetime(2018, 6, 14, 15, 43, 44, 398000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971225.401, datetime.datetime(2018, 6, 14, 15, 43, 45, 401000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971226.403, datetime.datetime(2018, 6, 14, 15, 43, 46, 403000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971227.421, datetime.datetime(2018, 6, 14, 15, 43, 47, 421000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971228.424, datetime.datetime(2018, 6, 14, 15, 43, 48, 424000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971229.427, datetime.datetime(2018, 6, 14, 15, 43, 49, 427000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971230.429, datetime.datetime(2018, 6, 14, 15, 43, 50, 429000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971231.435, datetime.datetime(2018, 6, 14, 15, 43, 51, 435000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971232.443, datetime.datetime(2018, 6, 14, 15, 43, 52, 443000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971233.466, datetime.datetime(2018, 6, 14, 15, 43, 53, 466000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971234.469, datetime.datetime(2018, 6, 14, 15, 43, 54, 469000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971235.473, datetime.datetime(2018, 6, 14, 15, 43, 55, 473000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971236.476, datetime.datetime(2018, 6, 14, 15, 43, 56, 476000)]
