Room: 303, Node number: 2, [2, '303', 0, 1528713048.136, datetime.datetime(2018, 6, 11, 16, 0, 48, 136000)]
Room: 303, Node number: 2, [2, '303', 1, 1528713054.147, datetime.datetime(2018, 6, 11, 16, 0, 54, 147000)]
Room: 303, Node number: 3, [3, '303', 0, 1528713056.07, datetime.datetime(2018, 6, 11, 16, 0, 56, 70000)]
Room: 303, Node number: 3, [3, '303', 1, 1528713057.073, datetime.datetime(2018, 6, 11, 16, 0, 57, 73000)]
Room: 303, Node number: 2, [2, '303', 0, 1528713059.155, datetime.datetime(2018, 6, 11, 16, 0, 59, 155000)]
Room: 303, Node number: 2, [2, '303', 1, 1528713064.165, datetime.datetime(2018, 6, 11, 16, 1, 4, 165000)]
Room: 303, Node number: 3, [3, '303', 0, 1528713066.069, datetime.datetime(2018, 6, 11, 16, 1, 6, 69000)]
Room: 303, Node number: 3, [3, '303', 1, 1528713067.07, datetime.datetime(2018, 6, 11, 16, 1, 7, 70000)]
Room: 303, Node number: 3, [3, '303', 0, 1528713069.074, datetime.datetime(2018, 6, 11, 16, 1, 9, 74000)]
Room: 303, Node number: 2, [2, '303', 0, 1528713069.176, datetime.datetime(2018, 6, 11, 16, 1, 9, 176000)]
Room: 303, Node number: 3, [3, '303', 1, 1528713070.076, datetime.datetime(2018, 6, 11, 16, 1, 10, 76000)]
Room: 303, Node number: 2, [2, '303', 1, 1528713074.182, datetime.datetime(2018, 6, 11, 16, 1, 14, 182000)]
Room: 303, Node number: 2, [2, '303', 0, 1528713080.18, datetime.datetime(2018, 6, 11, 16, 1, 20, 180000)]
Room: 303, Node number: 2, [2, '303', 1, 1528713085.189, datetime.datetime(2018, 6, 11, 16, 1, 25, 189000)]
Room: 303, Node number: 3, [3, '303', 0, 1528713088.094, datetime.datetime(2018, 6, 11, 16, 1, 28, 94000)]
Room: 303, Node number: 3, [3, '303', 1, 1528713089.097, datetime.datetime(2018, 6, 11, 16, 1, 29, 97000)]
Room: 303, Node number: 2, [2, '303', 0, 1528713090.183, datetime.datetime(2018, 6, 11, 16, 1, 30, 183000)]
Room: 303, Node number: 3, [3, '303', 0, 1528713092.102, datetime.datetime(2018, 6, 11, 16, 1, 32, 102000)]
